n	sd.het	d.het	lo	hi	ci	lo.tval	hi.tval	ci.tval	over
360	0.05	0	-0.175938471451278	0.175938471451278	0.351876942902556	-0.146086412987968	0.146086412987968	0.292172825975936	1.2043452081048
370	0.05	0	-0.174267007712605	0.174267007712605	0.34853401542521	-0.144098959551201	0.144098959551201	0.288197919102401	1.20935646069454
380	0.05	0	-0.172695704527311	0.172695704527311	0.345391409054622	-0.142190438071361	0.142190438071361	0.284380876142722	1.21453810023878
390	0.05	0	-0.171174388041926	0.171174388041925	0.342348776083851	-0.140355758546541	0.140355758546541	0.280711517093083	1.21957509841083
400	0.05	0	-0.169720576630254	0.169720576630254	0.339441153260507	-0.138590282306354	0.138590282306354	0.277180564612708	1.22462104705932
20	0.1	0	-0.650050263246178	0.650050263246177	1.30010052649235	-0.619815761514706	0.619815761514707	1.23963152302941	1.04877982072864
30	0.1	0	-0.542715005049602	0.542715005049603	1.0854300100992	-0.506089491804875	0.506089491804874	1.01217898360975	1.07236963785616
40	0.1	0	-0.480080057183447	0.480080057183447	0.960160114366894	-0.438261216863417	0.438261216863417	0.876522433726833	1.09541989733731
50	0.1	0	-0.438261216863417	0.438261216863417	0.876522433726833	-0.39199393051968	0.39199393051968	0.783987861039359	1.11803061920474
60	0.1	0	-0.407999523294183	0.407999523294183	0.815999046588367	-0.357835196656047	0.357835196656047	0.715670393312094	1.14018835236701
70	0.1	0	-0.384913948018267	0.384913948018267	0.769827896036534	-0.331284709976391	0.331284709976391	0.662569419952781	1.1618826236976
80	0.1	0	-0.366689358335194	0.366689358335195	0.733378716670389	-0.309900667832386	0.309900667832386	0.619801335664771	1.18324804170323
90	0.1	0	-0.351824113894382	0.351824113894382	0.703648227788764	-0.292182931613665	0.292182931613665	0.58436586322733	1.20412274581315
100	0.1	0	-0.339474098374105	0.339474098374105	0.67894819674821	-0.277193419913382	0.277193419913382	0.554386839826764	1.22468310568189
110	0.1	0	-0.32900073899062	0.32900073899062	0.658001477981239	-0.264293646856554	0.264293646856554	0.528587293713107	1.24483029729877
120	0.1	0	-0.320036059087378	0.320036059087378	0.640072118174757	-0.253027167247347	0.253027167247347	0.506054334494694	1.26482884256664
130	0.1	0	-0.312274824639829	0.312274824639829	0.624549649279657	-0.24310277685962	0.24310277685962	0.48620555371924	1.28453828736046
140	0.1	0	-0.305442704304741	0.305442704304741	0.610885408609481	-0.234260396383323	0.234260396383323	0.468520792766646	1.30385976042208
150	0.1	0	-0.299395739072013	0.299395739072013	0.598791478144027	-0.226329032467469	0.226329032467469	0.452658064934937	1.32283399883772
160	0.1	0	-0.294002730271824	0.294002730271824	0.588005460543648	-0.219131870372533	0.219131870372533	0.438263740745067	1.34167033655126
170	0.1	0	-0.289160611244095	0.289160611244095	0.578321222488191	-0.212588808804352	0.212588808804352	0.425177617608704	1.36018736296798
180	0.1	0	-0.284787223798147	0.284787223798146	0.569574447596293	-0.20657713915373	0.20657713915373	0.41315427830746	1.37859990202602
190	0.1	0	-0.280816224702311	0.280816224702311	0.561632449404622	-0.201081636459077	0.201081636459077	0.402163272918154	1.39652844311052
200	0.1	0	-0.277193419913382	0.277193419913382	0.554386839826764	-0.19599515782741	0.19599515782741	0.39199031565482	1.41428708232411
210	0.1	0	-0.273874078449664	0.273874078449664	0.547748156899329	-0.191272796122074	0.191272796122074	0.382545592244148	1.43185065520176
220	0.1	0	-0.270820932406533	0.270820932406533	0.541641864813067	-0.186883019859741	0.186883019859741	0.373766039719481	1.4491468117852
230	0.1	0	-0.268002666371918	0.268002666371918	0.536005332743836	-0.182780773318545	0.182780773318545	0.365561546637089	1.46625195585999
240	0.1	0	-0.265392761625115	0.265392761625115	0.53078552325023	-0.178915309808828	0.178915309808828	0.357830619617655	1.48334293978916
250	0.1	0	-0.262968601311196	0.262968601311196	0.525937202622393	-0.175317205501965	0.175317205501965	0.35063441100393	1.49995889198821
260	0.1	0	-0.260693732628645	0.260693732628645	0.521387465257291	-0.171894847143023	0.171894847143023	0.343789694286047	1.5165884083293
270	0.1	0	-0.258587002154314	0.258587002154315	0.517174004308629	-0.168658091049102	0.168658091049102	0.337316182098204	1.5332024722077
280	0.1	0	-0.256615223517378	0.256615223517378	0.513230447034756	-0.165652570838737	0.165652570838737	0.331305141677474	1.54911705998932
290	0.1	0	-0.254765665544151	0.254765665544151	0.509531331088301	-0.162767665366817	0.162767665366817	0.325535330733634	1.56521054086513
300	0.1	0	-0.253027167247347	0.253027167247347	0.506054334494694	-0.160032171721706	0.160032171721706	0.320064343443412	1.58110187798587
310	0.1	0	-0.251389900846885	0.251389900846885	0.50277980169377	-0.157430039557994	0.157430039557994	0.314860079115988	1.59683565825618
320	0.1	0	-0.24984517672207	0.24984517672207	0.49969035344414	-0.154950747611443	0.154950747611443	0.309901495222887	1.61241672320669
330	0.1	0	-0.24838528185537	0.24838528185537	0.496770563710739	-0.152584914529835	0.152584914529835	0.305169829059671	1.6278495329681
340	0.1	0	-0.247003345218297	0.247003345218297	0.494006690436594	-0.150324145144535	0.150324145144535	0.30064829028907	1.64313819966051
350	0.1	0	-0.245693224976644	0.245693224976644	0.491386449953287	-0.14816089952248	0.14816089952248	0.29632179904496	1.65828653692377
360	0.1	0	-0.244449413478463	0.244449413478463	0.488898826956927	-0.146086412987968	0.146086412987968	0.292172825975936	1.6733206632885
370	0.1	0	-0.243266956821787	0.243266956821787	0.486533913643574	-0.144098959551201	0.144098959551201	0.288197919102401	1.68819370784805
380	0.1	0	-0.242141386443713	0.242141386443714	0.484282772887427	-0.142190438071361	0.142190438071361	0.284380876142722	1.70293719977281
390	0.1	0	-0.241068660674622	0.241068660674622	0.482137321349244	-0.140355758546541	0.140355758546541	0.280711517093083	1.71755447137343
400	0.1	0	-0.24004511459502	0.24004511459502	0.48009022919004	-0.138590282306354	0.138590282306354	0.277180564612708	1.7320486732569
20	0.2	0	-0.733352640435826	0.733352640435826	1.46670528087165	-0.619815761514706	0.619815761514707	1.23963152302941	1.18317843135137
30	0.2	0	-0.640123665180567	0.640123665180568	1.28024733036113	-0.506089491804875	0.506089491804874	1.01217898360975	1.26484283026246
40	0.2	0	-0.587988929277345	0.587988929277345	1.17597785855469	-0.438261216863417	0.438261216863417	0.876522433726833	1.34164034291127
50	0.2	0	-0.554355554935188	0.554355554935188	1.10871110987038	-0.39199393051968	0.39199393051968	0.783987861039359	1.41419423050826
60	0.2	0	-0.530763112583295	0.530763112583295	1.06152622516659	-0.357835196656047	0.357835196656047	0.715670393312094	1.48326133802167
